대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202501,104,104. 합정역 1번출구 앞,정기권,F,60대,5,73.49,0.86,3712.14,118
202501,104,104. 합정역 1번출구 앞,정기권,F,~10대,3,187.71,1.93,8320.03,124
202501,104,104. 합정역 1번출구 앞,정기권,F,기타,21,776.56,5.93,25586.63,213
202501,104,104. 합정역 1번출구 앞,정기권,M,20대,50,3184.18,25.73,110856.99,1562
202501,104,104. 합정역 1번출구 앞,정기권,M,30대,99,8608.32,69.04,297849.07,2477
202501,104,104. 합정역 1번출구 앞,정기권,M,40대,96,5047.93,42.12,181266.13,3832
202501,104,104. 합정역 1번출구 앞,정기권,M,50대,66,4339.3,32.56,140328.43,1308
202501,104,104. 합정역 1번출구 앞,정기권,M,60대,16,1285.56,11,47411.37,561
202501,104,104. 합정역 1번출구 앞,정기권,M,70대이상,4,77.71,0.74,3169.33,98
202501,104,104. 합정역 1번출구 앞,정기권,M,~10대,1,108.88,0.98,4230.0,21
202501,104,104. 합정역 1번출구 앞,정기권,M,기타,25,1376.03,12.89,55500.12,490
202501,105,105. 합정역 5번출구 앞,일일권,,20대,12,983.57,8.51,36581.15,523
202501,105,105. 합정역 5번출구 앞,일일권,,30대,6,388.19,3.47,15005.82,145
202501,105,105. 합정역 5번출구 앞,일일권,F,20대,10,468.51,4.26,18346.68,249
202501,105,105. 합정역 5번출구 앞,일일권,F,30대,5,497.89,5.21,22429.71,179
202501,105,105. 합정역 5번출구 앞,일일권,F,기타,3,150.6,1.35,5850.87,60
202501,105,105. 합정역 5번출구 앞,일일권,M,20대,18,2696.42,22.95,98901.22,632
202501,105,105. 합정역 5번출구 앞,일일권,M,30대,8,549.76,4.75,20426.47,331
202501,105,105. 합정역 5번출구 앞,일일권,M,40대,2,436.97,3.27,14060.12,79
202501,105,105. 합정역 5번출구 앞,일일권,M,~10대,6,412.12,3.6,15470.83,169
202501,105,105. 합정역 5번출구 앞,일일권,M,기타,4,266.75,2.41,10363.28,100
